Embedding,Fusion,Accuracy,Precision_macro,Recall_macro,F1_macro
TFIDF-SVD,Early,0.3441295546558704,0.4018697741786819,0.4152378678372562,0.3302898991005175
GloVe-style-SVD,Early,0.3441295546558704,0.4018697741786819,0.4152378678372562,0.3302898991005175
Word-Distribution-SVD,Early,0.3441295546558704,0.4018697741786819,0.4152378678372562,0.3302898991005175
Subword-SVD,Early,0.3360323886639676,0.39250002171892245,0.40939716474884674,0.3274139911723804
Subword-SVD,Late,0.340080971659919,0.34702364265021957,0.3568951214211153,0.3205672704157135
TFIDF-SVD,Late,0.340080971659919,0.34702364265021957,0.3568951214211153,0.3205672704157135
GloVe-style-SVD,Late,0.3117408906882591,0.3667245851275465,0.3915444496484252,0.3078814326695302
Word-Distribution-SVD,Late,0.3117408906882591,0.3667245851275465,0.3915444496484252,0.3078814326695302
